127.0.0.1 - - [12/Dec/2014:15:11:44 +0100] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [12/Dec/2014:15:11:45 +0100] "GET /04_7bwi_student/index.jsp HTTP/1.1" 500 2481
127.0.0.1 - - [12/Dec/2014:15:12:06 +0100] "GET /04_7bwi_student/index.jsp HTTP/1.1" 200 2120
127.0.0.1 - - [12/Dec/2014:15:12:06 +0100] "GET /04_7bwi_student/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2014:15:12:06 +0100] "GET /04_7bwi_student/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2014:15:12:06 +0100] "GET /04_7bwi_student/res/js/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Dec/2014:15:12:06 +0100] "GET /04_7bwi_student/res/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Dec/2014:15:13:33 +0100] "GET /04_7bwi_student/index.jsp HTTP/1.1" 200 2120
127.0.0.1 - - [12/Dec/2014:15:13:33 +0100] "GET /04_7bwi_student/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Dec/2014:15:13:33 +0100] "GET /04_7bwi_student/res/js/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Dec/2014:15:13:33 +0100] "GET /04_7bwi_student/res/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Dec/2014:15:13:33 +0100] "GET /04_7bwi_student/res/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Dec/2014:15:13:47 +0100] "GET /04_7bwi_student/index.jsp HTTP/1.1" 200 2120
127.0.0.1 - - [12/Dec/2014:15:13:48 +0100] "GET /04_7bwi_student/res/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Dec/2014:15:13:48 +0100] "GET /04_7bwi_student/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Dec/2014:15:13:48 +0100] "GET /04_7bwi_student/res/js/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Dec/2014:15:13:48 +0100] "GET /04_7bwi_student/res/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Dec/2014:15:13:48 +0100] "GET /04_7bwi_student/index.jsp HTTP/1.1" 200 2120
127.0.0.1 - - [12/Dec/2014:15:13:49 +0100] "GET /04_7bwi_student/res/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Dec/2014:15:13:49 +0100] "GET /04_7bwi_student/res/js/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Dec/2014:15:13:49 +0100] "GET /04_7bwi_student/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Dec/2014:15:13:49 +0100] "GET /04_7bwi_student/res/css/jquery-ui.min.css HTTP/1.1" 304 -
