127.0.0.1 - - [15/Dec/2014:22:25:17 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:25:18 +0100] "GET /05_TodoApp/index.jsp HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:25:18 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:25:18 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:25:18 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:25:18 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:25:29 +0100] "GET /05_TodoApp/index.jsp HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:25:29 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:25:29 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:25:29 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:25:29 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:25:30 +0100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:26:30 +0100] "GET /05_TodoApp/index.jsp HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:26:30 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 200 30163
0:0:0:0:0:0:0:1 - - [15/Dec/2014:22:26:30 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 200 114011
