127.0.0.1 - - [26/Jan/2015:15:13:52 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:13:55 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:13:55 +0100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:14:01 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:14:02 +0100] "GET /Website/listTop5.jsp HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:14:08 +0100] "GET /Website/listTop5.jsp HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:14:10 +0100] "GET /Website/login.jsp HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:14:10 +0100] "GET /Website/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:14:10 +0100] "GET /Website/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:14:41 +0100] "GET /05_TodoApp/index.jsp HTTP/1.1" 200 6076
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:14:41 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:14:41 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:14:41 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:14:41 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2015:15:14:41 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
